show_id,type,title,rating,duration,listed_in,description,year_added,tagged_description,categorie,emotion
s731,Movie,Cobra Kai - The Afterparty,TV-MA,34 min,Movies,"Ralph Macchio, William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!), followed by Bill Burr of ""F Is for Family.""",2021,"s731 Ralph Macchio, William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!), followed by Bill Burr of ""F Is for Family.""",Movies,joy
s732,TV Show,Love (ft. Marriage and Divorce),TV-14,2 Seasons,"International TV Shows, TV Dramas","Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",2021,"s732 Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",International TV Shows,sadness
s733,Movie,To All the Boys: Always and Forever - The Afterparty,TV-MA,36 min,Movies,"Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions, plus Whitney Cummings gives suspect dating advice.",2021,"s733 Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions, plus Whitney Cummings gives suspect dating advice.",Movies,neutral
s734,TV Show,LEGO Friends: The Power of Friendship,TV-Y7,2 Seasons,Kids' TV,"Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends!",2021,"s734 Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends!",Kids' TV,joy
s735,TV Show,Lupin,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by the adventures of ArsÃ¨ne Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",2021,"s735 Inspired by the adventures of ArsÃ¨ne Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",Crime TV Shows,anger
s736,Movie,Sarbath,TV-PG,113 min,"Comedies, Dramas, International Movies","When a city man returns to his native village for his brotherâs wedding, several unforeseen snags make his visit more eventful than anticipated.",2021,"s736 When a city man returns to his native village for his brotherâs wedding, several unforeseen snags make his visit more eventful than anticipated.",Comedies,joy
s737,Movie,Skater Girl,PG,110 min,"Children & Family Movies, Dramas, International Movies","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",2021,"s737 When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",Children & Family Movies,fear
s738,TV Show,Trese,TV-MA,1 Season,"Anime Series, Crime TV Shows, TV Horror","In Manila, where dark supernatural forces pervade the criminal underworld, itâs up to Alexandra Trese to keep the peace â but thereâs a storm brewing.",2021,"s738 In Manila, where dark supernatural forces pervade the criminal underworld, itâs up to Alexandra Trese to keep the peace â but thereâs a storm brewing.",Anime Series,neutral
s739,Movie,Trese After Dark,TV-14,36 min,"Anime Features, Documentaries","Stars and creators gather to discuss âTrese,â from its Filipino folklore inspirations to the comicâs beginnings and its journey to an anime series.",2021,"s739 Stars and creators gather to discuss âTrese,â from its Filipino folklore inspirations to the comicâs beginnings and its journey to an anime series.",Anime Series,neutral
s740,Movie,Wish Dragon,PG,102 min,"Children & Family Movies, Comedies",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021,s740 Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,Children & Family Movies,neutral
s741,Movie,A Haunted House 2,R,86 min,"Comedies, Horror Movies","Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids â but supernatural shenanigans find their way back to him.",2021,"s741 Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids â but supernatural shenanigans find their way back to him.",Comedies,sadness
s742,Movie,Blind Intersections,TV-MA,91 min,"Dramas, International Movies",This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates.,2021,s742 This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates.,Dramas,neutral
s743,Movie,Camellia Sisters,TV-MA,117 min,"Dramas, International Movies",Tensions rise and untold secrets surface for three royal sisters when a family treasure is stolen the night before an antique auction.,2021,s743 Tensions rise and untold secrets surface for three royal sisters when a family treasure is stolen the night before an antique auction.,Dramas,anger
s744,Movie,Copenhagen,TV-MA,99 min,"Dramas, Independent Movies, Romantic Movies","Philandering his way across Europe to find the grandfather he's never met, William unexpectedly befriends a 14-year-old who changes how he sees women.",2021,"s744 Philandering his way across Europe to find the grandfather he's never met, William unexpectedly befriends a 14-year-old who changes how he sees women.",Dramas,surprise
s745,TV Show,Locombianos,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",Four of Colombia's funniest and bawdiest comedians perform before a post-quarantine audience hungry for their stories.,2021,s745 Four of Colombia's funniest and bawdiest comedians perform before a post-quarantine audience hungry for their stories.,International TV Shows,joy
s746,Movie,Until Midnight,TV-14,77 min,"International Movies, Thrillers","After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight.",2021,"s746 After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight.",International Movies,fear
s747,Movie,Awake,TV-MA,97 min,"Dramas, Thrillers","After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",2021,"s747 After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",Dramas,sadness
s748,Movie,Confusion Na Wa,TV-MA,106 min,"Comedies, Dramas, International Movies",A misplaced cell phone's incriminating content becomes a prime blackmail opportunity for a pair of petty thieves who soon regret their greedy scheme.,2021,s748 A misplaced cell phone's incriminating content becomes a prime blackmail opportunity for a pair of petty thieves who soon regret their greedy scheme.,Comedies,neutral
s749,TV Show,"Fresh, Fried & Crispy",TV-PG,1 Season,Reality TV,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",2021,"s749 Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",Reality TV,neutral
s750,TV Show,L.A.âs Finest,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Comedies","In this spinoff of the ""Bad Boys"" franchise, two police detectives team up while trying to keep their stormy pasts â and differences â from interfering.",2021,"s750 In this spinoff of the ""Bad Boys"" franchise, two police detectives team up while trying to keep their stormy pasts â and differences â from interfering.",Crime TV Shows,neutral
s751,Movie,Tragic Jungle,TV-MA,97 min,"Dramas, Independent Movies, International Movies","To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.",2021,"s751 To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.",Dramas,disgust
s752,TV Show,Guru Aur Bhole,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.,2021,s752 A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.,Kids' TV,joy
s753,Movie,Vampire Academy,PG-13,104 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","A half-human, half-vampire teen must prepare for class and her destiny as the protector of mortal vampires against their vicious immortal counterparts.",2021,"s753 A half-human, half-vampire teen must prepare for class and her destiny as the protector of mortal vampires against their vicious immortal counterparts.",Action & Adventure,neutral
s754,TV Show,"Newly Rich, Newly Poor",TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","After learning they were switched at birth, wealthy AndrÃ©s and working-class Brayan must adjust to the families and lifestyles they were meant to have.",2021,"s754 After learning they were switched at birth, wealthy AndrÃ©s and working-class Brayan must adjust to the families and lifestyles they were meant to have.",International TV Shows,neutral
s755,Movie,A Private War,R,110 min,"Dramas, Independent Movies","In this biopic, war correspondent Marie Colvin risks it all to bring back the truth from the frontlines, despite the toll it takes on her own life.",2021,"s755 In this biopic, war correspondent Marie Colvin risks it all to bring back the truth from the frontlines, despite the toll it takes on her own life.",Dramas,neutral
s756,Movie,Kitty Love: An Homage to Cats,TV-G,61 min,"Children & Family Movies, Documentaries, International Movies","Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos.",2021,"s756 Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos.",Children & Family Movies,neutral
s757,Movie,Small Chops,TV-MA,98 min,"Dramas, International Movies, Romantic Movies","When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding.",2021,"s757 When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding.",Dramas,neutral
s758,Movie,Breaking Boundaries: The Science Of Our Planet,TV-PG,74 min,Documentaries,David Attenborough and scientist Johan RockstrÃ¶m examine Earth's biodiversity collapse and how this crisis can still be averted.,2021,s758 David Attenborough and scientist Johan RockstrÃ¶m examine Earth's biodiversity collapse and how this crisis can still be averted.,Documentaries,neutral
s759,TV Show,Feel Good,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas","Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety.",2021,"s759 Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety.",Children & Family Movies,sadness
s760,Movie,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,TV-G,60 min,Movies,"The first of its kind in UHD 4K, with the clearest picture available, a real fireplace sparks and crackles, adding warmth and atmosphere to any home.",2021,"s760 The first of its kind in UHD 4K, with the clearest picture available, a real fireplace sparks and crackles, adding warmth and atmosphere to any home.",Movies,neutral
s761,Movie,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,TV-G,60 min,Movies,"For the first time in 4K Ultra-HD, everyone's favorite Yuletide fireplace snaps and crackles in crystal clear, high-def holiday warmth.",2021,"s761 For the first time in 4K Ultra-HD, everyone's favorite Yuletide fireplace snaps and crackles in crystal clear, high-def holiday warmth.",Movies,neutral
s762,TV Show,Human: The World Within,TV-PG,1 Season,"Docuseries, Science & Nature TV",Cutting-edge science and captivating personal stories collide in this illuminating docuseries about the incredible workings of the human body.,2021,s762 Cutting-edge science and captivating personal stories collide in this illuminating docuseries about the incredible workings of the human body.,Docuseries,neutral
s763,Movie,Sweet & Sour,TV-14,103 min,"Comedies, International Movies, Romantic Movies","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",2021,"s763 Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",Comedies,neutral
s764,TV Show,Sweet Tooth,TV-14,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",2021,"s764 On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",Action & Adventure,fear
s765,Movie,Trippin' with the Kandasamys,TV-14,94 min,"Comedies, International Movies, Romantic Movies","To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.",2021,"s765 To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.",Comedies,joy
s766,Movie,Xtreme,TV-MA,112 min,"Action & Adventure, International Movies","In this fast-paced and action-packed thriller, a retired hitman â along with his sister and a troubled teen â takes revenge on his lethal stepbrother.",2021,"s766 In this fast-paced and action-packed thriller, a retired hitman â along with his sister and a troubled teen â takes revenge on his lethal stepbrother.",Action & Adventure,anger
s767,Movie,Alan SaldaÃ±a: Locked Up,TV-MA,49 min,Stand-Up Comedy,"Mexican comedian Alan SaldaÃ±a is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",2021,"s767 Mexican comedian Alan SaldaÃ±a is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",Stand-Up Comedy,joy
s768,TV Show,Creator's File: GOLD,TV-14,1 Season,"International TV Shows, TV Comedies","Comedian Ryuji Akiyama satirizes top âcreatorsâ in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.",2021,"s768 Comedian Ryuji Akiyama satirizes top âcreatorsâ in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.",International TV Shows,surprise
s769,Movie,Dancing Queens,TV-MA,111 min,"Comedies, Dramas, International Movies","A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",2021,"s769 A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",Comedies,joy
s770,Movie,From Stress to Happiness,TV-G,58 min,"Documentaries, International Movies","A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world.""",2021,"s770 A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world.""",Documentaries,joy
s771,Movie,Myriam Fares: The Journey,TV-14,72 min,"Documentaries, International Movies, Music & Musicals","From pregnancy to album preparations, Lebanese singer and âQueen of the Stageâ Myriam Fares documents her experiences with her family while in lockdown.",2021,"s771 From pregnancy to album preparations, Lebanese singer and âQueen of the Stageâ Myriam Fares documents her experiences with her family while in lockdown.",Documentaries,fear
s772,TV Show,Pretty Guardian Sailor Moon Eternal The Movie,TV-14,1 Season,TV Shows,"When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world.",2021,"s772 When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world.",International TV Shows,sadness
s773,TV Show,Summertime,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",Two young adults from very different backgrounds fall in love during a summer on Italyâs Adriatic Coast. Inspired by Federico Moccia's book series.,2021,s773 Two young adults from very different backgrounds fall in love during a summer on Italyâs Adriatic Coast. Inspired by Federico Moccia's book series.,International TV Shows,joy
s774,Movie,The Girl and the Gun,TV-MA,78 min,"Dramas, International Movies, Thrillers","Fed up with abuse by those around her, a department store saleswoman finds a weapon in an alleyway and decides to settle scores.",2021,"s774 Fed up with abuse by those around her, a department store saleswoman finds a weapon in an alleyway and decides to settle scores.",Dramas,disgust
s775,Movie,2 Hearts,PG-13,101 min,"Dramas, Faith & Spirituality, Romantic Movies","In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",2021,"s775 In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",Dramas,neutral
s776,Movie,A Perfect Ending,TV-MA,110 min,"Dramas, Independent Movies, LGBTQ Movies","After confessing an unusual secret, a repressed wife â prompted by her friends â decides to explore her sexuality with a high-priced call girl.",2021,"s776 After confessing an unusual secret, a repressed wife â prompted by her friends â decides to explore her sexuality with a high-priced call girl.",Dramas,disgust
s777,Movie,American Outlaws,PG-13,94 min,Action & Adventure,"In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost.",2021,"s777 In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost.",Action & Adventure,anger
s778,Movie,And Then Came Lola,TV-MA,70 min,"Comedies, Independent Movies, LGBTQ Movies","In this lesbian-themed nod to the film Run Lola Run, a photographer races against the clock to make it to an important meeting on time.",2021,"s778 In this lesbian-themed nod to the film Run Lola Run, a photographer races against the clock to make it to an important meeting on time.",Comedies,neutral
s779,TV Show,Attack on Titan,TV-MA,1 Season,"Anime Series, International TV Shows","With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.",2021,"s779 With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.",Anime Series,fear
s780,Movie,Battlefield Earth,PG-13,118 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery.",2021,"s780 In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery.",Action & Adventure,disgust
s781,TV Show,Ben & Holly's Little Kingdom,TV-Y,2 Seasons,Kids' TV,"In the magical Little Kingdom, friends Ben Elf and fairy princess Holly have fun adventures as they learn about teamwork, sharing and problem-solving.",2021,"s781 In the magical Little Kingdom, friends Ben Elf and fairy princess Holly have fun adventures as they learn about teamwork, sharing and problem-solving.",Kids' TV,joy
s782,Movie,Black Holes | The Edge of All We Know,TV-14,99 min,Documentaries,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.,2021,s782 Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.,Documentaries,neutral
s783,Movie,Bliss,R,103 min,"Dramas, Romantic Movies","Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex.",2021,"s783 Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex.",Dramas,neutral
s784,Movie,Carnaval,TV-MA,95 min,"Comedies, International Movies, Music & Musicals","After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",2021,"s784 After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",Comedies,joy
s785,Movie,Cloudburst,TV-MA,93 min,"Comedies, Dramas, Independent Movies","A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker.",2021,"s785 A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker.",Comedies,neutral
s786,TV Show,Cocomelon,TV-Y,3 Seasons,Kids' TV,"Learn letters, numbers, animal sounds and more with J.J. in this edutaining series that brings fun times with nursery rhymes for the whole family!",2021,"s786 Learn letters, numbers, animal sounds and more with J.J. in this edutaining series that brings fun times with nursery rhymes for the whole family!",Kids' TV,joy
s787,Movie,Company of Heroes,R,101 min,"Action & Adventure, Dramas","During the last major German offensive of World War II, a group of Allied soldiers sets out against all odds to turn the war around.",2021,"s787 During the last major German offensive of World War II, a group of Allied soldiers sets out against all odds to turn the war around.",Action & Adventure,neutral
s788,Movie,Cradle 2 the Grave,R,101 min,Action & Adventure,"When a jewel thief pulls off a risky diamond heist with his crew, a gang kidnaps his young daughter and steals the loot as a rival agent offers his help.",2021,"s788 When a jewel thief pulls off a risky diamond heist with his crew, a gang kidnaps his young daughter and steals the loot as a rival agent offers his help.",Action & Adventure,disgust
s789,Movie,Domestic Disturbance,PG-13,89 min,Thrillers,A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer â but soon begins to sense the boy is telling the truth.,2021,s789 A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer â but soon begins to sense the boy is telling the truth.,Thrillers,fear
s790,TV Show,Downton Abbey,TV-14,6 Seasons,"British TV Shows, International TV Shows, TV Dramas","Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants.",2021,"s790 Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants.",British TV Shows,disgust
s791,Movie,Dream/Killer,TV-MA,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.,2021,s791 This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.,Documentaries,anger
s792,Movie,Felon,R,104 min,"Action & Adventure, Dramas","After killing a burglar while trying to protect his family, regular guy Wade is convicted of involuntary manslaughter and thrown into prison.",2021,"s792 After killing a burglar while trying to protect his family, regular guy Wade is convicted of involuntary manslaughter and thrown into prison.",Action & Adventure,disgust
s793,Movie,Flipped,PG,90 min,"Comedies, Dramas, Romantic Movies","Bryce and Juli first meet as children, with Juli having a crush on Bryce. As they mature, it appears their bond may blossom into something more.",2021,"s793 Bryce and Juli first meet as children, with Juli having a crush on Bryce. As they mature, it appears their bond may blossom into something more.",Comedies,joy
s794,Movie,Fools Rush In,PG-13,109 min,"Comedies, Romantic Movies","When a one-night stand results in a pregnancy, two strangers with opposite personalities rush into marriage then must deal with the consequences.",2021,"s794 When a one-night stand results in a pregnancy, two strangers with opposite personalities rush into marriage then must deal with the consequences.",Comedies,disgust
s795,Movie,Gold Statue,TV-14,145 min,"Comedies, Dramas, International Movies","After tracing an artifact to his ancestry, a young man and his friend's search for a gilded statue lands them in a maximum-security prison.",2021,"s795 After tracing an artifact to his ancestry, a young man and his friend's search for a gilded statue lands them in a maximum-security prison.",Comedies,disgust
s796,TV Show,Happy Endings,TV-14,3 Seasons,TV Comedies,"After his fiancÃ©e, Alex, dumps him at the altar, Dave finds himself nursing a broken heart and battling her for custody of their quirky friends.",2021,"s796 After his fiancÃ©e, Alex, dumps him at the altar, Dave finds himself nursing a broken heart and battling her for custody of their quirky friends.",TV Comedies,sadness
s797,Movie,Hostel: Part III,R,88 min,"Cult Movies, Horror Movies","In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved.",2021,"s797 In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved.",Movies,fear
s798,Movie,I Am Sam,PG-13,132 min,Dramas,"When the legal system declares him unfit to be a parent, a father with an intellectual disability fights to regain custody of his young daughter.",2021,"s798 When the legal system declares him unfit to be a parent, a father with an intellectual disability fights to regain custody of his young daughter.",Dramas,disgust
s799,Movie,Love Jones,R,109 min,"Comedies, Dramas, Independent Movies",A poet and a photographer take a chance on romance but find their ambitions and baggage could keep them from taking their relationship further.,2021,s799 A poet and a photographer take a chance on romance but find their ambitions and baggage could keep them from taking their relationship further.,Comedies,neutral
s800,Movie,Million Dollar Baby,PG-13,133 min,"Dramas, Sports Movies","When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents.",2021,"s800 When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents.",Dramas,neutral
s801,Movie,Mosquita y Mari,TV-14,85 min,"Dramas, Independent Movies, LGBTQ Movies","Neighbors but by no means friends, high schoolers Yolanda and Mari discover a bond and an attraction when they're made study partners.",2021,"s801 Neighbors but by no means friends, high schoolers Yolanda and Mari discover a bond and an attraction when they're made study partners.",Dramas,neutral
s802,Movie,Never Back Down 2: The Beatdown,R,104 min,"Action & Adventure, Dramas, Sports Movies",A group of mixed martial arts fighters stars in this action thriller that follows a quartet of brawlers as they prepare for a major underground event.,2021,s802 A group of mixed martial arts fighters stars in this action thriller that follows a quartet of brawlers as they prepare for a major underground event.,Action & Adventure,neutral
s803,Movie,Ninja Assassin,R,99 min,Action & Adventure,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.,2021,s803 A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.,Action & Adventure,anger
s804,TV Show,Ouran High School Host Club,TV-PG,1 Season,"Anime Series, Romantic TV Shows, Teen TV Shows","New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school.",2021,"s804 New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school.",Anime Series,neutral
s805,Movie,Population 436,R,93 min,"Horror Movies, Thrillers","A census taker sent to investigate why Rockwell Falls has had the same population, 436, for more than a century, soon wishes he hadn't taken the job.",2021,"s805 A census taker sent to investigate why Rockwell Falls has had the same population, 436, for more than a century, soon wishes he hadn't taken the job.",Horror Movies,sadness
s806,TV Show,Racket Boys,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas",A city kid is brought to the countryside by his father's new coaching gig: reviving a ragtag middle school badminton team on the brink of extinction.,2021,s806 A city kid is brought to the countryside by his father's new coaching gig: reviving a ragtag middle school badminton team on the brink of extinction.,International TV Shows,neutral
s807,Movie,Seven Souls in the Skull Castle: Season Moon Jogen,TV-14,204 min,"Action & Adventure, Dramas, International Movies","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the âMoon Jogenâ version of the show, performed in a 360Âº theater.",2021,"s807 Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the âMoon Jogenâ version of the show, performed in a 360Âº theater.",Action & Adventure,neutral
s808,Movie,Seven Souls in the Skull Castle: Season Moon Kagen,TV-PG,212 min,"Action & Adventure, Dramas, International Movies","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the âMoon Kagenâ version of the show, performed in a 360Âº theater.",2021,"s808 Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the âMoon Kagenâ version of the show, performed in a 360Âº theater.",Action & Adventure,neutral
s809,Movie,Sniper: Legacy,R,98 min,Action & Adventure,"When a troubled sniper begins killing officers he blames for a bungled mission, elite marksman Brandon Beckett sets out to neutralize the threat.",2021,"s809 When a troubled sniper begins killing officers he blames for a bungled mission, elite marksman Brandon Beckett sets out to neutralize the threat.",Action & Adventure,disgust
s810,Movie,Starsky & Hutch,PG-13,101 min,"Action & Adventure, Comedies",New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.,2021,s810 New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.,Action & Adventure,neutral
s811,Movie,Streets of Fire,PG,94 min,"Action & Adventure, Classic Movies, Cult Movies","Tough ex-soldier Tom Cody springs into action when a depraved motorcycle gang kidnaps his former girlfriend, Ellen, who's now a famous singer.",2021,"s811 Tough ex-soldier Tom Cody springs into action when a depraved motorcycle gang kidnaps his former girlfriend, Ellen, who's now a famous singer.",Action & Adventure,disgust
s812,Movie,Super Monsters: Once Upon a Rhyme,TV-Y,25 min,Children & Family Movies,"From Goldilocks to Hansel and Gretel, the Super Monsters reimagine classic fairy tales and favorite nursery rhymes with a musical, magical spin!",2021,"s812 From Goldilocks to Hansel and Gretel, the Super Monsters reimagine classic fairy tales and favorite nursery rhymes with a musical, magical spin!",Children & Family Movies,joy
s813,Movie,Swordfish,R,99 min,Action & Adventure,"A gifted hacker with a criminal past is recruited by a group of shadowy, seductive figures for an elaborate scheme where nothing is quite as it seems.",2021,"s813 A gifted hacker with a criminal past is recruited by a group of shadowy, seductive figures for an elaborate scheme where nothing is quite as it seems.",Action & Adventure,neutral
s814,TV Show,The Adventures of Sonic the Hedgehog,TV-Y7,1 Season,Kids' TV,"Hyper hedgehog Sonic and his cohort Miles ""Tails"" Prower defend the planet Mobius against Dr. Robotnik and his evil schemes in this animated series.",2021,"s814 Hyper hedgehog Sonic and his cohort Miles ""Tails"" Prower defend the planet Mobius against Dr. Robotnik and his evil schemes in this animated series.",Kids' TV,neutral
s815,Movie,The Four Seasons,PG,108 min,"Comedies, Romantic Movies","Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics.",2021,"s815 Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics.",Comedies,neutral
s816,Movie,The Girl King,TV-MA,106 min,"Dramas, International Movies, LGBTQ Movies","Sweden's forward-thinking Queen Kristina resists her country's conservative ideals, which only grow more restrictive when she falls for a woman.",2021,"s816 Sweden's forward-thinking Queen Kristina resists her country's conservative ideals, which only grow more restrictive when she falls for a woman.",Dramas,neutral
s817,Movie,The Interpreter,PG-13,128 min,Thrillers,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.,2021,s817 Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.,Thrillers,fear
s818,Movie,The Meddler,PG-13,104 min,"Comedies, Dramas, Independent Movies","Still-grieving widow Marnie moves to Los Angeles to be close to daughter Lori, but soon discovers new outlets for her maternal and romantic needs.",2021,"s818 Still-grieving widow Marnie moves to Los Angeles to be close to daughter Lori, but soon discovers new outlets for her maternal and romantic needs.",Comedies,sadness
